Time,"Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C"
15:02:56,1.99E-05,0.00024405,-0.00023931,0.02755563,0.01642473,-0.02078294,33.88778686,0.00031732,0.00025496,-0.00013436,-0.04381629,-0.00382648,0.01806031,34.70213699
15:02:57,-1.18E-05,0.00025614,-0.00019892,0.02701791,0.01595016,-0.02054993,33.8994255,0.00027481,0.00020697,-0.00014107,-0.04496248,-0.00464594,0.01810707,34.71529769
15:02:58,1.19E-05,0.00022959,-0.00023831,0.02865119,0.01635096,-0.02024335,33.90625,0.00030005,0.0002133,-0.00013819,-0.04434927,-0.00384998,0.01874975,34.72742462
15:02:59,6.89E-06,0.00023954,-0.00021753,0.02668772,0.01585575,-0.02053818,33.9097023,0.0003331,0.00023311,-0.00010628,-0.04377734,-0.00408576,0.01807168,34.72110748
15:03:00,-5.13E-06,0.00026638,-0.00020915,0.02824412,0.01669034,-0.02069425,33.92628097,0.0003136,0.00020915,-0.00014065,-0.04463571,-0.00413346,0.01807135,34.75337219
15:03:01,5.50E-05,0.00022917,-0.00022046,0.02741162,0.01609984,-0.02072968,33.93269348,0.00033673,0.00023006,-0.0001099,-0.04506081,-0.0040035,0.01768176,34.75978469
15:03:02,5.71E-05,0.00027239,-0.0002116,0.02812013,0.01533841,-0.02100126,33.94146347,0.00031031,0.00023755,-0.00013636,-0.04527336,-0.00385001,0.01807735,34.77252197
15:03:03,1.36E-05,0.00027708,-0.0002313,0.0266854,0.01601727,-0.02051718,33.96128463,0.00028932,0.00021187,-0.00014216,-0.04524974,-0.00392085,0.01762862,34.77420806
15:03:04,-3.60E-07,0.00029609,-0.00021257,0.0276773,0.01578124,-0.02033995,33.96870803,0.00033945,0.0001875,-0.00011687,-0.04470656,-0.00429276,0.01853784,34.77656936
15:03:05,9.52E-06,0.00025757,-0.00020551,0.02777177,0.01645416,-0.02032817,33.98085403,0.00030693,0.00023072,-0.00012486,-0.04471837,-0.00451131,0.01830167,34.81064605
15:03:06,-1.11E-05,0.00026259,-0.00024565,0.02733487,0.01670213,-0.02146175,34.00404739,0.00026676,0.00019969,-0.000149,-0.04472427,-0.00431085,0.01840215,34.80752182
